Término,Equivalencia,Definición ,
Edificaciones,Buildings.,"Construcciones o estructuras diseñadas para ser habitadas o utilizadas con diversos fines, como viviendas, oficinas o comercios.",
Denominado,Called.,Algo que ha sido llamado o designado con un nombre específico.,
Instalaciones centrales,Central facilities.,"Sistemas principales de una edificación o infraestructura que gestionan servicios básicos como electricidad, agua, calefacción o ventilación.",
Matrices,Matrices.,"Herramientas matemáticas utilizadas para representar y resolver sistemas de ecuaciones, modelar estructuras o analizar datos complejos en diversos campos como la mecánica, la electrónica o la informática.",
Fungen,Serve.,Actuar o desempeñar una función o rol específico en una situación o contexto determinado.,
Ensayo,Trial,"Procedimiento de prueba para evaluar las características, resistencia o comportamiento de materiales, estructuras o sistemas bajo condiciones específicas.",
Ingeniería automotriz,Automotive engineering.,"Se enfoca en el diseño, desarrollo, fabricación y mantenimiento de vehículos y sus sistemas.",
Aeronaves,Aircrafts.,"Vehículos diseñados para volar en el aire, como aviones, helicópteros y dirigibles.",
Gas natural,Natural gas.,gas combustible procedente de formaciones geológicas y compuesto principalmente por metano.,
Grúas ,Cranes.,"Vehículo automóvil provisto de un sistema de elevación o arrastre, destinado a transportar uno o más vehículos.",
Maquinaria industrial  ,Industrial machinery.,las máquinas y equipos utilizados por un fabricante en una planta de manufactura. ,
multidisciplinario ,Multidisciplinary.,Que abarca o afecta a varias disciplinas.,
fluidos ,Fluids.,Dicho de una sustancia: Que se encuentra en estado líquido o gaseoso.,
torno,Lathe.,"Máquina simple que consiste en un cilindro dispuesto para girar alrededor de su eje por la acción de palancas, cigüeñas o ruedas, y que ordinariamente actúa sobre la resistencia por medio de una cuerda que se va arrollando al cilindro.",
energía solar fotovoltaica,Photovoltaic solar energy. ,"es una fuente de energía que produce electricidad de origen renovable, obtenida directamente de la radiación solar mediante un dispositivo semiconductor denominado célula fotovoltaica",
oficios,Trades.,"Profesiones técnicas especializadas que apoyan el diseño, construcción y mantenimiento de proyectos, como electricistas, soldadores y carpinteros, dentro del ámbito de la ingeniería.",
Bastidores.,Backstage. ,"Actividades, procesos o personas que trabajan en el ámbito privado o no visible, generalmente en el contexto de la organización de eventos o producciones.",
Automoción.,Automotive. ,"Actividades relacionadas con el diseño, fabricación y mantenimiento de vehículos automotores.",
Planos.,Plans. ,"Son representaciones gráficas detalladas de un diseño o proyecto, que muestran las dimensiones, estructuras y características de un objeto o construcción.",
